"","Year","SiteID","Section2","Time","Density_MeanCE"
"1",2017,"MO_A","Treatment","Pre",0.304761904761905
"2",2018,"MO_C","Treatment","Pre",2.32063492063492
"3",2019,"MO_C","Treatment","Pre",0.372871572871573
"4",2020,"MO_C_1","Below","Impact",1.88888888888889
"5",2020,"MO_C_2","Below","Impact",3.45396825396826
"6",2020,"MO_C_3","Treatment","Impact",9.13535353535354
"7",2020,"MO_C_4","Treatment","Impact",6.96425120772947
"8",2021,"MO_D_1","Below","Impact +1",3.88571428571429
"9",2021,"MO_D_2","Treatment","Impact +1",5.04431599229287
"10",2021,"MO_D_3","Treatment","Impact +1",1.88888888888889
"11",2021,"MO_D_4","Treatment","Impact +1",2.96257309941521
"12",2021,"MO_D_5","Treatment","Impact +1",3.44197530864198
"13",2022,"MO_E_1","Below","Post",0.348435814455232
"14",2022,"MO_E_2","Below","Post",0.98641975308642
"15",2022,"MO_E_3","Treatment","Post",1.249343832021
"16",2022,"MO_E_4","Treatment","Post",0.553520553520554
"17",2022,"MO_E_5","Treatment","Post",0.490974729241878
"18",2023,"MO_F_2","Below","Post",0.797530864197531
"19",2023,"MO_F_3","Treatment","Post",0.583838383838384
"20",2023,"MO_F_4","Treatment","Post",2.47841472045294
"21",2023,"MO_F_5","Treatment","Post",0.852130325814537
"22",2023,"MO_F_6","Treatment","Post",0.735930735930736
"23",2017,"PF3_A","Control","Pre",1.24126984126984
"24",2018,"PF3_A","Control","Pre",2.71640211640212
"25",2019,"PF3_A","Control","Pre",1.27724867724868
"26",2020,"PF3_A","Control","Impact",3.48994708994709
"27",2021,"PF3_A","Control","Impact +1",0.665608465608466
"28",2023,"PF3_A","Control","Post",2.03280423280423
"29",2022,"PF3_B","Control","Post",3.28194444444445
"30",2017,"PF5_A","Control","Pre",2.02380952380953
"31",2018,"PF5_B","Control","Pre",3.58449612403101
"32",2019,"PF5_B","Control","Pre",1.35297157622739
"33",2020,"PF5_B","Control","Impact",2.03824289405685
"34",2022,"PF5_B","Control","Post",3.12764857881137
"35",2023,"PF5_B","Control","Post",1.84496124031008
"36",2021,"PF5_D","Control","Impact +1",1.28301886792453
