"","Year","Time","SiteID","X","Section2","Density_MeanCE","Weight_mean","Weight_sd","Weight_count","grams_per_meter"
"1",2017,"Pre","MO_full",1,"Treatment",0.304761904761905,29.2223149547612,18.3471302467537,96,8.90584836716534
"2",2017,"Pre","PF3",23,"Control",1.24126984126984,9.48408368491013,9.9748499658085,121,11.7723070501583
"3",2017,"Pre","PF5",30,"Control",2.02380952380953,13.5435194458519,21.1284883383899,114,27.4095036404146
"4",2018,"Pre","MO_full",2,"Treatment",2.32063492063492,24.8565629813023,21.7066797789261,473,57.6830080613713
"5",2018,"Pre","PF3",24,"Control",2.71640211640212,8.23842621409412,9.77881810820113,273,22.378878403788
"6",2018,"Pre","PF5",31,"Control",3.58449612403101,16.8757150715968,17.8616771738419,354,60.4909352643903
"7",2019,"Pre","MO_full",3,"Treatment",0.372871572871573,34.2013157894737,24.7751622580414,76,12.7526984126984
"8",2019,"Pre","PF3",25,"Control",1.27724867724868,22.4459557344064,25.9556822463563,71,28.669067271353
"9",2019,"Pre","PF5",32,"Control",1.35297157622739,35.5849358974359,40.7978513094646,120,48.1454068111045
"10",2020,"Impact","MO_above1",6,"Treatment",9.13535353535354,6.21428571428571,4.84419588437893,133,56.769696969697
"11",2020,"Impact","MO_above2",7,"Treatment",6.96425120772947,5.27783018867925,5.3607781327935,212,36.7561352657005
"12",2020,"Impact","PF3",26,"Control",3.48994708994709,28.6980821917808,37.3309047888725,365,100.154788432268
"13",2020,"Impact","PF5",33,"Control",2.03824289405685,44.9793103448276,42.6186803648585,116,91.6787596899226
"14",2021,"Post","MO_above1",9,"Treatment",5.04431599229287,8.57921483895683,9.92633121733586,343,43.2762706134662
"15",2021,"Post","MO_above2",10,"Treatment",1.88888888888889,34.0125,25.18293263609,40,64.2458333333334
"16",2021,"Post","MO_above3",11,"Treatment",2.96257309941521,9.36845637583893,9.86054167176348,149,27.7547368421053
"17",2021,"Post","MO_above4",12,"Treatment",3.44197530864198,9.09944740853659,12.2328584620366,164,31.3200733024692
"18",2021,"Post","PF3",27,"Control",0.665608465608466,30.275,30.2332763689283,56,20.1512962962963
"19",2021,"Post","PF5",36,"Control",1.28301886792453,43.2089210789211,41.8775046109404,154,55.4378610069177
"20",2022,"Post","MO_above1",15,"Treatment",1.249343832021,55.1428571428571,53.7731102574473,42,68.8923884514437
"21",2022,"Post","MO_above2",16,"Treatment",0.553520553520554,47.375,31.0347757796364,40,26.2230362230362
"22",2022,"Post","MO_above3",17,"Treatment",0.490974729241878,48.6406666666667,43.3259947573542,36,23.8813381468111
"23",2022,"Post","PF3",29,"Control",3.28194444444445,10.4095039757668,18.0018735517896,278,34.1634137426901
"24",2022,"Post","PF5",34,"Control",3.12764857881137,18.1807548671816,28.0284402638085,309,56.8630121220586
"25",2023,"Post","MO_above1",19,"Treatment",0.583838383838384,15.2117647058824,6.24208322126327,17,8.88121212121212
"26",2023,"Post","MO_above2",20,"Treatment",2.47841472045294,46.2194287851898,39.1316970046164,103,114.550912672141
"27",2023,"Post","MO_above3",21,"Treatment",0.852130325814537,36.6866666666667,36.9956449751378,30,31.261821219716
"28",2023,"Post","MO_above4",22,"Treatment",0.735930735930736,24.29,30.4944353318256,30,17.8757575757576
"29",2023,"Post","PF3",28,"Control",2.03280423280423,11.5716900328587,14.9832734516193,220,23.5229804794937
"30",2023,"Post","PF5",35,"Control",1.84496124031008,19.927695043944,22.7277532199507,205,36.765824964796
