"","mark.year","mark.season","mark.section","num_tag","out_dsThirtymile","prop_out"
"1","2017","Fall","MObelow",96,16,0.166666666666667
"2","2017","Fall","Per2",206,5,0.0242718446601942
"3","2018","Fall","MObelow",444,89,0.20045045045045
"4","2018","Fall","Per2",716,59,0.0824022346368715
"5","2019","Fall","MObelow",75,17,0.226666666666667
"6","2019","Fall","Per2",269,29,0.107806691449814
"7","2020","Fall","MOabove",213,17,0.07981220657277
"8","2020","Fall","MObelow",190,27,0.142105263157895
"9","2020","Fall","Per2",312,12,0.0384615384615385
"10","2021","Fall","MOabove",573,9,0.0157068062827225
"11","2021","Fall","MObelow",97,3,0.0309278350515464
"12","2021","Fall","Per2",259,13,0.0501930501930502
"13","2022","Fall","MOabove",145,16,0.110344827586207
"14","2022","Fall","MObelow",80,5,0.0625
"15","2022","Fall","Per2",798,78,0.0977443609022556
"16","2023","Fall","MOabove",161,14,0.0869565217391304
"17","2023","Fall","MObelow",46,3,0.0652173913043478
"18","2023","Fall","Per2",234,12,0.0512820512820513
