"","Base","Year","Section2","Mean_Density_MeanCE","SD_Density_MeanCE","Count_Density_MeanCE","mean","X2.5.","X97.5.","EndingPopulation","Time"
"1","During","2020","Control",2.76409499200197,1.02650988119095,2,0.268743884469552,0.0804806610816885,0.682194329920912,742.833625193445,"Impact"
"2","During","2020","Treatment",8.0498023715415,1.53520117851288,2,0.426541198027705,0.16060239476801,0.892990458709272,3433.57234744357,"Impact"
"3","PrePost","2017","Control",1.63253968253968,0.553339116071383,2,0.118492428178723,0.0343191503828395,0.277834045106087,193.443591082249,"Pre"
"4","PrePost","2017","Treatment",0.304761904761905,NA,1,0.639212014461685,0.306306257287196,0.970659572319098,194.807471074037,"Pre"
"5","PrePost","2018","Control",3.15044912021656,0.613835159501795,2,0.211039076672286,0.142412629344038,0.302449625551903,664.86787343352,"Pre"
"6","PrePost","2018","Treatment",2.32063492063492,NA,1,0.684053692884953,0.47796027277674,0.946865449804677,1587.4388872981,"Pre"
"7","PrePost","2019","Control",1.31511012673803,0.0535441753589497,2,0.368147807890115,0.179427908715334,0.718694288848131,484.154910292699,"Pre"
"8","PrePost","2019","Treatment",0.372871572871573,NA,1,0.742726685042348,0.407337487065566,0.988007766029453,276.94166726543,"Pre"
"9","PrePost","2021","Control",0.974313666766498,0.436575082252803,2,0.563302524124085,0.200977979567111,0.964959372412164,548.833347778161,"Post"
"10","PrePost","2021","Treatment",3.33443832230974,1.31188703250929,4,0.129010590302892,0.042912779060643,0.332150737925319,430.177856289764,"Post"
"11","PrePost","2022","Control",3.20479651162791,0.109103652898199,2,0.404482208367155,0.229985529722779,0.712771808238152,1296.28317039061,"Post"
"12","PrePost","2022","Treatment",0.764613038261144,0.420952434187011,3,0.418945153743202,0.18980081452528,0.807855727269328,320.330926868372,"Post"
"13","PrePost","2023","Control",1.93888273655716,0.132825053790987,2,0.280755401729408,0.0953891608601302,0.675414423136481,544.351801608318,"Post"
"14","PrePost","2023","Treatment",1.16257854150915,0.884076064704657,4,0.468887070206203,0.17709399719367,0.924179029739053,545.118046212825,"Post"
