Density,StartingPopulation,Survival,EndingPopulation
1.25,1250,0.75,937.5
1.5,1500,0.75,1125
1.75,1750,0.75,1312.5
2,2000,0.75,1500
2.25,2250,0.75,1687.5
2.5,2500,0.75,1875
2.75,2750,0.75,2062.5
3,3000,0.75,2250
3.25,3250,0.75,2437.5
3.5,3500,0.75,2625
3.75,3750,0.75,2812.5
4,4000,0.75,3000
4.25,4250,0.75,3187.5
4.5,4500,0.75,3375
4.75,4750,0.75,3562.5
5,5000,0.75,3750
5.25,5250,0.75,3937.5
5.5,5500,0.75,4125
5.75,5750,0.75,4312.5
6,6000,0.75,4500
6.25,6250,0.75,4687.5
6.5,6500,0.75,4875
6.75,6750,0.75,5062.5
7,7000,0.75,5250
1.25,1250,0.7,875
1.5,1500,0.7,1050
1.75,1750,0.7,1225
2,2000,0.7,1400
2.25,2250,0.7,1575
2.5,2500,0.7,1750
2.75,2750,0.7,1925
3,3000,0.7,2100
3.25,3250,0.7,2275
3.5,3500,0.7,2450
3.75,3750,0.7,2625
4,4000,0.7,2800
4.25,4250,0.7,2975
4.5,4500,0.7,3150
4.75,4750,0.7,3325
5,5000,0.7,3500
5.25,5250,0.7,3675
5.5,5500,0.7,3850
5.75,5750,0.7,4025
6,6000,0.7,4200
6.25,6250,0.7,4375
6.5,6500,0.7,4550
6.75,6750,0.7,4725
7,7000,0.7,4900
1.25,1250,0.65,812.5
1.5,1500,0.65,975
1.75,1750,0.65,1137.5
2,2000,0.65,1300
2.25,2250,0.65,1462.5
2.5,2500,0.65,1625
2.75,2750,0.65,1787.5
3,3000,0.65,1950
3.25,3250,0.65,2112.5
3.5,3500,0.65,2275
3.75,3750,0.65,2437.5
4,4000,0.65,2600
4.25,4250,0.65,2762.5
4.5,4500,0.65,2925
4.75,4750,0.65,3087.5
5,5000,0.65,3250
5.25,5250,0.65,3412.5
5.5,5500,0.65,3575
5.75,5750,0.65,3737.5
6,6000,0.65,3900
6.25,6250,0.65,4062.5
6.5,6500,0.65,4225
6.75,6750,0.65,4387.5
7,7000,0.65,4550
1.25,1250,0.6,750
1.5,1500,0.6,900
1.75,1750,0.6,1050
2,2000,0.6,1200
2.25,2250,0.6,1350
2.5,2500,0.6,1500
2.75,2750,0.6,1650
3,3000,0.6,1800
3.25,3250,0.6,1950
3.5,3500,0.6,2100
3.75,3750,0.6,2250
4,4000,0.6,2400
4.25,4250,0.6,2550
4.5,4500,0.6,2700
4.75,4750,0.6,2850
5,5000,0.6,3000
5.25,5250,0.6,3150
5.5,5500,0.6,3300
5.75,5750,0.6,3450
6,6000,0.6,3600
6.25,6250,0.6,3750
6.5,6500,0.6,3900
6.75,6750,0.6,4050
7,7000,0.6,4200
1.25,1250,0.55,687.5
1.5,1500,0.55,825
1.75,1750,0.55,962.5
2,2000,0.55,1100
2.25,2250,0.55,1237.5
2.5,2500,0.55,1375
2.75,2750,0.55,1512.5
3,3000,0.55,1650
3.25,3250,0.55,1787.5
3.5,3500,0.55,1925
3.75,3750,0.55,2062.5
4,4000,0.55,2200
4.25,4250,0.55,2337.5
4.5,4500,0.55,2475
4.75,4750,0.55,2612.5
5,5000,0.55,2750
5.25,5250,0.55,2887.5
5.5,5500,0.55,3025
5.75,5750,0.55,3162.5
6,6000,0.55,3300
6.25,6250,0.55,3437.5
6.5,6500,0.55,3575
6.75,6750,0.55,3712.5
7,7000,0.5,3500
1.25,1250,0.5,625
1.5,1500,0.5,750
1.75,1750,0.5,875
2,2000,0.5,1000
2.25,2250,0.5,1125
2.5,2500,0.5,1250
2.75,2750,0.5,1375
3,3000,0.5,1500
3.25,3250,0.5,1625
3.5,3500,0.5,1750
3.75,3750,0.5,1875
4,4000,0.5,2000
4.25,4250,0.5,2125
4.5,4500,0.5,2250
4.75,4750,0.5,2375
5,5000,0.5,2500
5.25,5250,0.5,2625
5.5,5500,0.5,2750
5.75,5750,0.5,2875
6,6000,0.5,3000
6.25,6250,0.5,3125
6.5,6500,0.5,3250
6.75,6750,0.5,3375
7,7000,0.45,3150
1.5,1500,0.45,675
1.75,1750,0.45,787.5
2,2000,0.45,900
2.25,2250,0.45,1012.5
2.5,2500,0.45,1125
2.75,2750,0.45,1237.5
3,3000,0.45,1350
3.25,3250,0.45,1462.5
3.5,3500,0.45,1575
3.75,3750,0.45,1687.5
4,4000,0.45,1800
4.25,4250,0.45,1912.5
4.5,4500,0.45,2025
4.75,4750,0.45,2137.5
5,5000,0.45,2250
5.25,5250,0.45,2362.5
5.5,5500,0.45,2475
5.75,5750,0.45,2587.5
6,6000,0.45,2700
6.25,6250,0.45,2812.5
6.5,6500,0.45,2925
6.75,6750,0.45,3037.5
7,7000,0.45,3150
1.25,1250,0.4,500
1.5,1500,0.4,600
1.75,1750,0.4,700
2,2000,0.4,800
2.25,2250,0.4,900
2.5,2500,0.4,1000
2.75,2750,0.4,1100
3,3000,0.4,1200
3.25,3250,0.4,1300
3.5,3500,0.4,1400
3.75,3750,0.4,1500
4,4000,0.4,1600
4.25,4250,0.4,1700
4.5,4500,0.4,1800
4.75,4750,0.4,1900
5,5000,0.4,2000
5.25,5250,0.4,2100
5.5,5500,0.4,2200
5.75,5750,0.4,2300
6,6000,0.4,2400
6.25,6250,0.4,2500
6.5,6500,0.4,2600
6.75,6750,0.4,2700
7,7000,0.4,2800
1.25,1250,0.35,437.5
1.5,1500,0.35,525
1.75,1750,0.35,612.5
2,2000,0.35,700
2.25,2250,0.35,787.5
2.5,2500,0.35,875
2.75,2750,0.35,962.5
3,3000,0.35,1050
3.25,3250,0.35,1137.5
3.5,3500,0.35,1225
3.75,3750,0.35,1312.5
4,4000,0.35,1400
4.25,4250,0.35,1487.5
4.5,4500,0.35,1575
4.75,4750,0.35,1662.5
5,5000,0.35,1750
5.25,5250,0.35,1837.5
5.5,5500,0.35,1925
5.75,5750,0.35,2012.5
6,6000,0.35,2100
6.25,6250,0.35,2187.5
6.5,6500,0.35,2275
6.75,6750,0.35,2362.5
7,7000,0.35,2450
1.25,1250,0.3,375
1.5,1500,0.3,450
1.75,1750,0.3,525
2,2000,0.3,600
2.25,2250,0.3,675
2.5,2500,0.3,750
2.75,2750,0.3,825
3,3000,0.3,900
3.25,3250,0.3,975
3.5,3500,0.3,1050
3.75,3750,0.3,1125
4,4000,0.3,1200
4.25,4250,0.3,1275
4.5,4500,0.3,1350
4.75,4750,0.3,1425
5,5000,0.3,1500
5.25,5250,0.3,1575
5.5,5500,0.3,1650
5.75,5750,0.3,1725
6,6000,0.3,1800
6.25,6250,0.3,1875
6.5,6500,0.3,1950
6.75,6750,0.3,2025
7,7000,0.3,2100
1.25,1250,0.25,312.5
1.5,1500,0.25,375
1.75,1750,0.25,437.5
2,2000,0.25,500
2.25,2250,0.25,562.5
2.5,2500,0.25,625
2.75,2750,0.25,687.5
3,3000,0.25,750
3.25,3250,0.25,812.5
3.5,3500,0.25,875
3.75,3750,0.25,937.5
4,4000,0.25,1000
4.25,4250,0.25,1062.5
4.5,4500,0.25,1125
4.75,4750,0.25,1187.5
5,5000,0.25,1250
5.25,5250,0.25,1312.5
5.5,5500,0.25,1375
5.75,5750,0.25,1437.5
6,6000,0.25,1500
6.25,6250,0.25,1562.5
6.5,6500,0.25,1625
6.75,6750,0.25,1687.5
7,7000,0.25,1750
1.25,1250,0.2,250
1.5,1500,0.2,300
1.75,1750,0.2,350
2,2000,0.2,400
2.25,2250,0.2,450
2.5,2500,0.2,500
2.75,2750,0.2,550
3,3000,0.2,600
3.25,3250,0.2,650
3.5,3500,0.2,700
3.75,3750,0.2,750
4,4000,0.2,800
4.25,4250,0.2,850
4.5,4500,0.2,900
4.75,4750,0.2,950
5,5000,0.2,1000
5.25,5250,0.2,1050
5.5,5500,0.2,1100
5.75,5750,0.2,1150
6,6000,0.2,1200
6.25,6250,0.2,1250
6.5,6500,0.2,1300
6.75,6750,0.2,1350
7,7000,0.2,1400
1.25,1250,0.15,187.5
1.5,1500,0.15,225
1.75,1750,0.15,262.5
2,2000,0.15,300
2.25,2250,0.15,337.5
2.5,2500,0.15,375
2.75,2750,0.15,412.5
3,3000,0.15,450
3.25,3250,0.15,487.5
3.5,3500,0.15,525
3.75,3750,0.15,562.5
4,4000,0.15,600
4.25,4250,0.15,637.5
4.5,4500,0.15,675
4.75,4750,0.15,712.5
5,5000,0.15,750
5.25,5250,0.15,787.5
5.5,5500,0.15,825
5.75,5750,0.15,862.5
6,6000,0.15,900
6.25,6250,0.15,937.5
6.5,6500,0.15,975
6.75,6750,0.15,1012.5
1.25,1250,0.1,125
1.5,1500,0.1,150
1.75,1750,0.1,175
2,2000,0.1,200
2.25,2250,0.1,225
2.5,2500,0.1,250
2.75,2750,0.1,275
3,3000,0.1,300
3.25,3250,0.1,325
3.5,3500,0.1,350
3.75,3750,0.1,375
4,4000,0.1,400
4.25,4250,0.1,425
4.5,4500,0.1,450
4.75,4750,0.1,475
5,5000,0.1,500
5.25,5250,0.1,525
5.5,5500,0.1,550
5.75,5750,0.1,575
6,6000,0.1,600
6.25,6250,0.1,625
6.5,6500,0.1,650
6.75,6750,0.1,675
7,7000,0.1,700
1.25,1250,0.1,125
1.5,1500,0.05,75
1.75,1750,0.05,87.5
2,2000,0.05,100
2.25,2250,0.05,112.5
2.5,2500,0.05,125
2.75,2750,0.05,137.5
3,3000,0.05,150
3.25,3250,0.05,162.5
3.5,3500,0.05,175
3.75,3750,0.05,187.5
4,4000,0.05,200
4.25,4250,0.05,212.5
4.5,4500,0.05,225
4.75,4750,0.05,237.5
5,5000,0.05,250
5.25,5250,0.05,262.5
5.5,5500,0.05,275
5.75,5750,0.05,287.5
6,6000,0.05,300
6.25,6250,0.05,312.5
6.5,6500,0.05,325
6.75,6750,0.05,337.5
7,7000,0.05,350
